sofa_id,name,pos,season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
879346,Scott McTominay,MID,2324,PL,England,7,1,49,7,0,6.93,17.375,9
986395,Ricardo Pepi,FWD,2324,Ered,Netherlands,7,2,9,1,0,6.83,10.0,7
187433,Serge Gnabry,MID,2324,Bund,Germany,3,1,8,0,0,7.18,19.357,11
863653,Aaron Wan-Bissaka,DEF,2324,PL,England,0,2,42,3,0,6.95,17.375,5
361004,Marco Asensio,MID,2324,L1,France,4,5,12,1,0,7.25,16.25,0
800951,Julian Ryerson,DEF,2324,Bund,Germany,4,1,41,4,0,6.96,19.357,21
254491,Ederson,GK,2324,PL,England,0,0,0,10,57,7,17.375,6
989113,Rodrigo Riquelme,MID,2324,LaLiga,Spain,3,5,30,1,0,6.87,16.062,3
833562,Yehor Nazaryna,MID,2324,Ukraine,Ukraine,2,0,0,0,0,6.92,4.1,4
906021,Sergiño Dest,DEF,2324,Ered,Netherlands,2,6,33,9,0,7.4,10.0,11
152077,John Stones,DEF,2324,PL,England,1,0,2,4,0,6.94,17.375,3
787751,Robin Le Normand,DEF,2324,LaLiga,Spain,2,0,31,7,0,6.97,16.062,10
352370,Lucas Hernández,DEF,2324,L1,France,1,1,52,3,0,7.11,16.25,15
138156,Emre Can,DEF,2324,Bund,Germany,2,2,63,5,0,7.09,19.357,22
814590,Marcus Rashford,MID,2324,PL,England,7,2,19,5,0,6.9,17.375,8
355492,Konrad Laimer,DEF,2324,Bund,Germany,0,3,56,4,0,6.98,19.357,21
190839,Luke Shaw,DEF,2324,PL,England,0,0,11,2,0,6.95,17.375,3
792073,Ferland Mendy,DEF,2324,LaLiga,Spain,0,0,15,10,0,6.93,16.062,12
1066560,Alan Varela,MID,2324,Portugal,Portugal,2,3,36,9,0,7.18,11.0,7
987510,Zaidu Sanusi,DEF,2324,Portugal,Portugal,1,0,3,0,0,6.88,11.0,2
150383,Stanislav Lobotka,MID,2324,SerieA,Italy,0,1,61,3,0,6.97,21.0,4
904835,Fábio Vieira,MID,2324,PL,England,1,2,3,0,0,6.92,17.375,0
996952,Bradley Barcola,MID,2324,L1,France,4,7,39,2,0,7.03,16.25,12
138152,Kaan Ayhan,DEF,2324,SuperLig,Turkey,1,2,33,6,0,7.07,12.0,2
941168,William Saliba,DEF,2324,PL,England,2,1,41,18,0,7.04,17.375,19
851271,Fran García,DEF,2324,LaLiga,Spain,1,5,25,5,0,6.95,16.062,3
958923,Artem Bondarenko,MID,2324,Ukraine,Ukraine,4,3,0,0,0,7.33,4.1,1
836705,Kai Havertz,FWD,2324,PL,England,13,7,35,8,0,7.23,17.375,9
929199,Carlos Augusto,DEF,2324,SerieA,Italy,0,3,29,6,0,6.96,21.0,7
985823,Ayase Ueda,FWD,2324,Ered,Netherlands,5,2,7,2,0,6.87,10.0,0
1142175,Kobbie Mainoo,MID,2324,PL,England,3,1,47,0,0,6.94,17.375,0
1099117,Samson Baidoo,DEF,2324,AutBund,Austria,2,1,30,4,0,7.12,4.8,3
848355,Angeliño,DEF,2324,SerieA,Italy,0,1,21,1,0,6.83,21.0,2
958380,Antony,MID,2324,PL,England,1,1,40,0,0,6.89,17.375,2
907463,Felix Nmecha,MID,2324,Bund,Germany,1,2,19,2,0,6.86,19.357,8
823941,Alexander Isak,FWD,2324,PL,England,21,2,5,3,0,7.17,17.375,4
954056,Nico González,MID,2324,Portugal,Portugal,2,1,42,0,0,7.06,11.0,1
1000483,Marc Casadó,MID,2324,LaLiga,Spain,0,0,1,0,0,6.85,16.062,0
822519,Éder Militão,DEF,2324,LaLiga,Spain,0,0,7,3,0,6.84,16.062,0
1402913,Pau Cubarsí,DEF,2324,LaLiga,Spain,0,0,22,8,0,6.99,16.062,2
976421,Castello Lukeba,DEF,2324,Bund,Germany,1,0,19,7,0,6.9,19.357,2
838232,Eljif Elmas,MID,2324,Bund,Germany,0,0,8,0,0,6.64,19.357,0
39070,Olivier Giroud,FWD,2324,SerieA,Italy,15,8,17,3,0,7.16,21.0,8
976037,Jakub Kiwior,DEF,2324,PL,England,1,3,20,5,0,6.95,17.375,2
987818,Maurits Kjaergaard,MID,2324,AutBund,Austria,2,5,15,5,0,7.25,4.8,4
26768,Sven Ulreich,GK,2324,Bund,Germany,0,0,1,4,19,6.71,19.357,2
37096,Péter Gulácsi,GK,2324,Bund,Germany,0,0,0,5,33,7.07,19.357,2
850993,David Neres,MID,2324,Portugal,Portugal,5,7,12,1,0,7.16,11.0,0
759520,Denzel Dumfries,DEF,2324,SerieA,Italy,4,4,22,2,0,6.92,21.0,4
957937,Casper Tengstedt,FWD,2324,Portugal,Portugal,4,2,11,0,0,6.94,11.0,3
579576,Ruben Aguilar,DEF,2324,L1,France,1,3,53,10,0,7.12,16.25,1
319853,Lukas Klostermann,DEF,2324,Bund,Germany,1,0,15,3,0,6.85,19.357,2
843200,Diogo Dalot,DEF,2324,PL,England,2,3,81,7,0,7.11,17.375,6
893499,Mauro Júnior,DEF,2324,Ered,Netherlands,1,0,18,2,0,7.05,10.0,0
986397,Benjamin Šeško,FWD,2324,Bund,Germany,14,2,13,1,0,6.97,19.357,9
1102788,Dorgeles Nene,FWD,2324,AutBund,Austria,5,2,20,0,0,6.91,4.8,1
976575,Nicolas Seiwald,MID,2324,Bund,Germany,0,2,33,0,0,6.7,19.357,3
825956,Christoph Baumgartner,MID,2324,Bund,Germany,5,1,26,0,0,6.79,19.357,1
904096,Barış Alper Yılmaz,MID,2324,SuperLig,Turkey,6,6,60,6,0,7.15,12.0,3
758608,Çağlar Söyüncü,DEF,2324,LaLiga,Spain,0,0,1,0,0,6.1,16.062,0
979221,Gonçalo Borges,MID,2324,Portugal,Portugal,0,2,7,0,0,6.8,11.0,0
