sofa_id,name,pos,dom_season,ucl_season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
126588,Filip Kostić,DEF,2122,2223,Bund,Germany,4,9,44,5,0,7.25,17.125,5
904897,Ryan Gravenberch,MID,2122,2223,Ered,Netherlands,2,5,47,9,0,7.17,13.5,4
1001196,Gonçalo Inácio,DEF,2122,2223,Portugal,Portugal,4,2,38,14,0,7.15,12.5,9
882664,Pepê,MID,2122,2223,Portugal,Portugal,4,3,25,6,0,6.88,12.5,6
879694,Pape Gueye,MID,2122,2223,L1,France,0,1,38,5,0,6.76,12.583,0
886363,Matheus Cunha,MID,2122,2223,Bund,Germany,0,1,0,0,0,6.7,17.125,0
876214,Eric García,DEF,2122,2223,LaLiga,Spain,0,0,27,5,0,6.87,16.571,4
940054,Karim Adeyemi,FWD,2122,2223,AutBund,Austria,19,5,13,1,0,7.14,4.9,8
188365,Héctor Bellerín,DEF,2122,2223,LaLiga,Spain,0,2,52,8,0,6.9,16.571,1
548848,Pau López,GK,2122,2223,L1,France,0,1,0,10,57,6.85,12.583,8
856076,David Raum,DEF,2122,2223,Bund,Germany,3,11,52,4,0,7.29,17.125,8
973887,Eduardo Camavinga,MID,2122,2223,LaLiga,Spain,2,1,52,2,0,6.98,16.571,13
784655,Fabián Ruiz,MID,2122,2223,SerieA,Italy,7,4,55,6,0,7.22,22.357,1
835601,Moise Kean,FWD,2122,2223,PL,England,0,0,0,0,0,0,23.0,4
848287,Evan Ndicka,DEF,2122,2223,Bund,Germany,4,4,60,5,0,7.12,17.125,15
234148,N'Golo Kanté,MID,2122,2223,PL,England,2,4,59,6,0,7.12,23.0,1
857574,Andriy Lunin,GK,2122,2223,LaLiga,Spain,0,0,0,0,7,7.2,16.571,1
958923,Artem Bondarenko,MID,2122,2223,Ukraine,Ukraine,1,1,0,0,0,0,5.7,4
838232,Eljif Elmas,MID,2122,2223,SerieA,Italy,3,5,25,3,0,6.78,22.357,2
986397,Benjamin Šeško,FWD,2122,2223,AutBund,Austria,5,1,5,0,0,6.62,4.9,1
982778,Devyne Rensch,DEF,2122,2223,Ered,Netherlands,1,1,23,2,0,6.8,13.5,8
1082406,Matías Soulé,FWD,2122,2223,SerieA,Italy,0,0,0,0,0,0,22.357,0
925097,Ronald Araújo,DEF,2122,2223,LaLiga,Spain,4,0,41,6,0,7.07,16.571,0
835485,Brahim Díaz,MID,2122,2223,SerieA,Italy,3,3,23,2,0,6.63,22.357,10
318927,Joe Gomez,DEF,2122,2223,PL,England,0,1,10,2,0,6.94,23.0,8
814594,Achraf Hakimi,DEF,2122,2223,L1,France,4,6,75,4,0,6.93,12.583,9
927353,Curtis Jones,MID,2122,2223,PL,England,1,1,11,1,0,6.98,23.0,0
319853,Lukas Klostermann,DEF,2122,2223,Bund,Germany,0,1,29,7,0,6.89,17.125,1
125407,Álvaro Morata,FWD,2122,2223,SerieA,Italy,9,7,18,1,0,7.04,22.357,0
353130,Mario Hermoso,DEF,2122,2223,LaLiga,Spain,2,1,30,5,0,6.82,16.571,6
353138,Marcos Llorente,MID,2122,2223,LaLiga,Spain,0,2,51,5,0,6.89,16.571,0
935308,Robert Ljubičić,MID,2122,2223,AutBund,Austria,2,2,44,3,0,6.94,4.9,10
1146018,Paul Wanner,MID,2122,2223,Bund,Germany,0,0,2,0,0,6.47,17.125,0
800951,Julian Ryerson,DEF,2122,2223,Bund,Germany,2,0,27,1,0,6.77,17.125,0
1048009,El Chadaille Bitshiabu,DEF,2122,2223,L1,France,0,0,0,0,0,0,12.583,0
958959,Jurriën Timber,DEF,2122,2223,Ered,Netherlands,3,2,73,16,0,7.39,13.5,5
803039,Donyell Malen,FWD,2122,2223,Bund,Germany,5,3,13,0,0,6.99,17.125,0
906021,Sergiño Dest,DEF,2122,2223,LaLiga,Spain,0,3,32,2,0,6.85,16.571,1
979221,Gonçalo Borges,MID,2122,2223,Portugal,Portugal,0,0,1,0,0,6.6,12.5,0
566102,Davinson Sánchez,DEF,2122,2223,PL,England,2,0,41,10,0,7.08,23.0,0
280601,Jindřich Staněk,GK,2122,2223,Czech,Czechia,0,0,0,0,0,0,6.75,7
1048422,Hugo Ekitiké,FWD,2122,2223,L1,France,10,3,18,2,0,6.89,12.583,0
895764,Pedro Gonçalves,MID,2122,2223,Portugal,Portugal,8,9,29,4,0,7.19,12.5,6
904859,Dmytro Kryskiv,MID,2122,2223,Ukraine,Ukraine,2,0,0,0,0,0,5.7,0
50490,Wojciech Szczęsny,GK,2122,2223,SerieA,Italy,0,0,1,12,78,6.95,22.357,3
355492,Konrad Laimer,DEF,2122,2223,Bund,Germany,4,4,38,0,0,6.84,17.125,3
997035,Alejandro Balde,DEF,2122,2223,LaLiga,Spain,0,0,2,0,0,6.53,16.571,0
319857,Benjamin Henrichs,DEF,2122,2223,Bund,Germany,3,3,30,2,0,6.89,17.125,1
973290,Tajon Buchanan,MID,2122,2223,Belgium,Belgium,1,1,32,5,0,6.77,14.2,7
1004449,Cisse Sandra,MID,2122,2223,Belgium,Belgium,1,0,3,0,0,6.67,14.2,0
37096,Péter Gulácsi,GK,2122,2223,Bund,Germany,0,0,0,9,79,6.84,17.125,0
70996,Kevin De Bruyne,MID,2223,2324,PL,England,7,16,28,3,0,7.78,23.0,14
944656,Julián Alvarez,FWD,2223,2324,PL,England,9,0,26,3,0,6.9,23.0,27
859765,Phil Foden,MID,2223,2324,PL,England,11,5,16,3,0,7.22,23.0,35
136924,Willi Orbán,DEF,2223,2324,Bund,Germany,4,0,51,10,0,7.14,17.125,7
827606,Rodri,MID,2223,2324,PL,England,2,6,67,5,0,7.32,23.0,15
831005,Raphinha,MID,2223,2324,LaLiga,Spain,7,7,29,1,0,7.27,16.571,23
991011,Jude Bellingham,MID,2223,2324,Bund,Germany,8,4,76,10,0,7.4,17.125,42
934235,Bukayo Saka,MID,2223,2324,PL,England,14,11,63,5,0,7.31,23.0,38
826643,Kylian Mbappé,FWD,2223,2324,L1,France,29,5,10,8,0,7.42,12.583,32
868812,Vinícius Júnior,MID,2223,2324,LaLiga,Spain,10,9,30,5,0,7.05,16.571,46
108579,Harry Kane,FWD,2223,2324,PL,England,30,3,15,8,0,7.44,23.0,47
138892,João Cancelo,DEF,2223,2324,PL,England,2,1,29,4,0,6.92,23.0,29
934386,Jérémy Doku,MID,2223,2324,L1,France,6,2,25,1,0,7.15,12.583,10
857574,Andriy Lunin,GK,2223,2324,LaLiga,Spain,0,0,0,3,12,6.81,16.571,19
592010,Mikel Merino,MID,2223,2324,LaLiga,Spain,2,9,77,8,0,7.11,16.571,21
856076,David Raum,DEF,2223,2324,Bund,Germany,0,2,39,2,0,6.89,17.125,20
16206,Yann Sommer,GK,2223,2324,Bund,Germany,0,0,1,8,77,6.9,17.125,24
556866,Gregor Kobel,GK,2223,2324,Bund,Germany,0,0,0,11,88,7.07,17.125,39
577726,Ramy Bensebaini,DEF,2223,2324,Bund,Germany,6,1,34,8,0,7.08,17.125,15
70988,Thibaut Courtois,GK,2223,2324,LaLiga,Spain,0,0,1,10,90,7.13,16.571,5
259117,Joshua Kimmich,MID,2223,2324,Bund,Germany,5,6,78,8,0,7.73,17.125,22
902029,Vitinha,MID,2223,2324,L1,France,2,3,58,3,0,6.85,12.583,20
288205,Bruno Fernandes,MID,2223,2324,PL,England,8,8,68,16,0,7.56,23.0,21
945122,Matheus Nunes,DEF,2223,2324,PL,England,1,1,67,4,0,6.77,23.0,8
189061,Jack Grealish,MID,2223,2324,PL,England,5,7,25,6,0,7.34,23.0,8
45853,İlkay Gündoğan,MID,2223,2324,PL,England,8,4,30,6,0,7.13,23.0,15
547838,Dani Ceballos,MID,2223,2324,LaLiga,Spain,0,4,43,2,0,6.93,16.571,6
941669,Dmytro Riznyk,GK,2223,2324,Ukraine,Ukraine,0,0,0,0,0,0,5.7,16
875136,Noa Lang,MID,2223,2324,Belgium,Belgium,9,7,29,4,0,7.26,14.2,0
964994,Joško Gvardiol,DEF,2223,2324,Bund,Germany,1,0,24,5,0,6.94,17.125,15
135700,Hakan Çalhanoğlu,MID,2223,2324,SerieA,Italy,3,6,48,3,0,7.31,22.357,9
1190933,João Neves,MID,2223,2324,Portugal,Portugal,1,0,26,3,0,6.86,12.5,8
1088896,Johan Bakayoko,MID,2223,2324,Ered,Netherlands,5,5,35,1,0,7.05,13.5,12
22209,Ørjan Nyland,GK,2223,2324,Bund,Germany,0,1,0,1,4,7.15,17.125,2
818244,Ousmane Dembélé,FWD,2223,2324,LaLiga,Spain,5,7,19,3,0,7.18,16.571,16
363856,Nicolò Barella,MID,2223,2324,SerieA,Italy,6,6,49,6,0,7.08,22.357,9
547410,Martin Ødegaard,MID,2223,2324,PL,England,15,7,36,5,0,7.35,23.0,19
850816,Joey Veerman,MID,2223,2324,Ered,Netherlands,4,10,52,7,0,7.65,13.5,4
1010231,Jamal Musiala,MID,2223,2324,Bund,Germany,12,10,34,1,0,7.05,17.125,18
794839,Gabriel Jesus,FWD,2223,2324,PL,England,11,6,33,6,0,7.07,23.0,27
789071,Dani Olmo,MID,2223,2324,Bund,Germany,2,5,15,1,0,7.04,17.125,6
