Name,Position,Price,TotalPts,MDPts,Selected%,Goals,Assists,BallsRecovered,CleanSheets,RedCards,YellowCards,MinsPlayed,TransfersIn,TransfersOut,NextOpponent
A. Hakimi,DEF,6,3,0,30,0,0,3,0,0,0,64,44810,34599,MCI (A)
Gabriel,DEF,6,8,0,26,0,0,7,1,0,0,90,31433,34244,LIL (H)
M. Cucurella,DEF,6,3,0,12,0,0,4,0,0,0,90,10652,18666,ROM (A)
Nuno Mendes,DEF,6,6,0,32,0,1,4,0,0,0,64,38618,32390,MCI (A)
V. van Dijk,DEF,6,3,0,13,0,0,5,0,0,0,90,17036,15113,LASK (A)
W. Pacho,DEF,6,4,0,9,0,0,6,0,0,0,64,14203,12418,MCI (A)
A. Grimaldo,DEF,5.5,1,0,6,0,0,2,0,0,0,31,13286,15523,MUN (H)
A. Rüdiger,DEF,5.5,0,0,1,0,0,0,0,0,0,0,1335,1768,ROM (A)
D. Dumfries,DEF,5.5,2,0,4,0,0,1,0,0,0,90,7664,9184,ROM (A)
D. Upamecano,DEF,5.5,0,0,13,0,0,0,0,0,0,0,28835,18797,BOD (H)
J. Gvardiol,DEF,5.5,1,0,10,0,0,3,0,0,1,48,21338,15145,PSG (H)
J. Koundé,DEF,5.5,3,0,5,0,0,5,0,0,0,90,10153,9315,GAL (A)
J. Ryerson,DEF,5.5,2,0,2,0,0,3,0,0,0,90,10796,6352,BOD (A)
J. Timber,DEF,5.5,0,0,1,0,0,0,0,0,0,0,1050,5730,LIL (H)
P. Cubarsí,DEF,5.5,4,0,22,0,0,6,0,0,0,90,28639,22895,GAL (A)
Rúben Dias,DEF,5.5,9,0,3,0,0,9,1,0,0,90,5831,3910,PSG (H)
T. Alexander-Arnold,DEF,5.5,2,0,2,0,0,0,0,0,0,79,3908,4582,ROM (A)
W. Saliba,DEF,5.5,0,0,4,0,0,0,0,0,0,0,4944,31825,LIL (H)
A. Bastoni,DEF,5,1,0,6,0,0,2,0,0,0,90,11228,11909,BRU (H)
A. Davies,DEF,5,0,0,4,0,0,0,0,0,0,0,9241,7901,BOD (H)
A. Salah-Eddine,DEF,5,0,0,1,0,0,0,0,0,0,0,823,3248,FEN (A)
B. White,DEF,5,6,0,3,0,0,2,1,0,0,82,9871,10231,LIL (H)
C. Mosquera,DEF,5,0,0,0,0,0,0,0,0,0,0,797,4343,LIL (H)
C. Romero,DEF,5,3,0,4,0,0,6,0,0,0,77,9311,10060,MUN (H)
D. Spence,DEF,5,0,0,3,0,0,0,0,0,0,0,4303,7695,BRU (H)
F. Dimarco,DEF,5,0,0,5,0,0,0,0,0,0,0,17338,49826,BRU (H)
G. Di Lorenzo,DEF,5,3,0,1,0,0,4,0,0,0,90,722,3753,VIL (A)
H. Maguire,DEF,5,0,0,4,0,0,0,0,0,0,0,10320,9325,SAB (H)
I. Konaté,DEF,5,2,0,5,0,0,1,0,0,0,90,13468,12292,ROM (A)
J. Bos,DEF,5,0,0,0,0,0,0,0,0,0,0,77,1413,COM (H)
J. Frimpong,DEF,5,1,0,2,0,0,0,0,0,0,30,3279,6954,LASK (A)
J. Giménez,DEF,5,0,0,0,0,0,0,0,0,0,0,89,1898,MUN (H)
J. Jacquet,DEF,5,3,0,1,0,0,3,0,0,0,90,2793,4191,LASK (A)
J. Stones,DEF,5,1,0,1,0,0,2,0,0,0,45,2088,4195,BRU (H)
J. Tah,DEF,5,0,0,6,0,0,0,0,0,0,0,16670,13368,BOD (H)
João Cancelo,DEF,5,6,0,4,0,1,3,0,0,0,90,9089,6950,GAL (A)
K. Laimer,DEF,5,0,0,4,0,0,0,0,0,0,0,11782,9927,BOD (H)
M. Akanji,DEF,5,0,0,1,0,0,0,0,0,0,0,2356,4757,BRU (H)
M. Guéhi,DEF,5,10,0,7,0,0,13,1,0,0,90,20070,14512,PSG (H)
M. Kerkez,DEF,5,3,0,1,0,0,5,0,0,0,88,1908,4569,LASK (A)
M. Škriniar,DEF,5,0,0,1,0,0,0,0,0,0,0,1070,2297,ROM (H)
Marquinhos,DEF,5,0,0,17,0,0,0,0,0,0,0,57086,28200,MCI (A)
Matheus Nunes,DEF,5,6,0,1,0,0,1,1,0,0,90,840,3383,PSG (H)
N. Aké,DEF,5,0,0,1,0,0,0,0,0,0,0,1058,2812,ROM (H)
N. Molina,DEF,5,0,0,1,0,0,0,0,0,0,0,1956,4285,FEN (A)
N. O’Reilly,DEF,5,0,0,7,0,0,0,0,0,0,0,19188,34710,PSG (H)
N. Schlotterbeck,DEF,5,0,0,2,0,0,0,0,0,0,0,5075,18382,BOD (A)
Nélson Semedo,DEF,5,0,0,1,0,0,0,0,0,0,0,830,1833,ROM (H)
P. Dorgu,DEF,5,0,0,1,0,0,0,0,0,0,0,3262,5052,SAB (H)
R. Aït-Nouri,DEF,5,4,0,1,0,1,0,0,0,0,15,526,3372,PSG (H)
R. Sallai,DEF,5,3,0,1,0,0,6,0,0,0,90,708,3213,BAR (H)
S. Dest,DEF,5,0,0,2,0,0,0,0,0,0,0,10952,7280,SHK (H)
T. Chalobah,DEF,5,0,0,2,0,0,0,0,0,0,0,2804,4599,RBL (H)
Á. Carreras,DEF,5,1,0,1,0,0,0,0,0,0,3,1369,3844,ROM (A)
A. Ahmedhodžić,DEF,4.5,0,0,0,0,0,0,0,0,0,0,27,805,COM (H)
A. Andrade,DEF,4.5,2,0,0,0,0,5,0,0,1,90,711,1328,LIV (H)
A. Balde,DEF,4.5,0,0,1,0,0,0,0,0,0,0,2724,5289,GAL (A)
A. Brown,DEF,4.5,0,0,0,0,0,0,0,0,0,0,536,594,ROM (H)
A. Christensen,DEF,4.5,4,0,1,0,0,6,0,0,0,90,1593,3340,GAL (A)
A. Khusanov,DEF,4.5,1,0,3,0,0,0,0,0,0,42,8982,9974,PSG (H)
A. Koné,DEF,4.5,0,0,0,0,0,0,0,0,0,0,69,153,COM (A)
A. Rrahmani,DEF,4.5,3,0,0,0,0,3,0,0,0,90,375,3067,VIL (A)
A. Wan-Bissaka,DEF,4.5,2,0,0,0,0,5,0,0,0,68,1892,437,FEN (H)
A. Wan-Bissaka,DEF,4.5,0,0,0,0,0,0,0,0,0,0,66,241,FEN (H)
A. Wimmer,DEF,4.5,0,0,0,0,0,0,0,0,0,0,22,117,LIV (H)
A. Zedadka,DEF,4.5,0,0,0,0,0,0,0,0,0,0,36,128,MUN (A)
Abdülkerim Bardakcı,DEF,4.5,0,0,1,0,0,0,0,0,0,0,980,3606,BAR (H)
Alberto Costa,DEF,4.5,2,0,0,0,0,4,0,0,0,90,619,1954,BET (A)
Alexsandro,DEF,4.5,11,0,0,1,0,12,0,0,0,90,644,1870,ARS (A)
Angeliño,DEF,4.5,0,0,0,0,0,0,0,0,0,0,26,217,FEN (A)
B. Badiashile,DEF,4.5,0,0,0,0,0,0,0,0,0,0,136,910,VIL (A)
B. Mechele,DEF,4.5,2,0,1,0,0,5,0,0,0,90,3082,3896,INT (A)
B. Pavard,DEF,4.5,0,0,1,0,0,1,0,0,0,45,1188,4212,BRU (H)
C. Blackman,DEF,4.5,-2,0,0,0,0,0,0,0,1,90,98,259,STU (H)
C. Bradley,DEF,4.5,0,0,0,0,0,0,0,0,0,0,146,2212,LASK (A)
C. Lukeba,DEF,4.5,0,0,0,0,0,0,0,0,0,0,528,1930,COM (A)
C. Olivier,DEF,4.5,0,0,0,0,0,0,0,0,0,0,10,204,SBR (A)
D. Hancko,DEF,4.5,2,0,3,0,0,4,0,0,0,90,8690,10706,MUN (H)
D. Huijsen,DEF,4.5,1,0,7,0,0,2,0,0,1,90,27846,18581,ROM (A)
D. Prpić,DEF,4.5,0,0,0,0,0,0,0,0,0,0,112,1640,BET (A)
D. Raum,DEF,4.5,0,0,0,0,0,0,0,0,0,0,1171,2275,COM (A)
D. Svensson,DEF,4.5,2,0,4,0,0,4,0,0,0,90,24036,10961,BOD (A)
D. Sánchez,DEF,4.5,4,0,3,0,0,11,0,0,0,90,5984,8262,BAR (H)
D. Vida,DEF,4.5,0,0,0,0,0,0,0,0,0,0,435,668,SHK (A)
D. Zima,DEF,4.5,0,0,0,0,0,0,0,0,0,0,236,1779,LEN (H)
Diego Llorente,DEF,4.5,0,0,0,0,0,0,0,0,0,0,60,507,POR (H)
Diogo Dalot,DEF,4.5,0,0,2,0,0,0,0,0,0,0,5620,4431,SAB (H)
E. Can,DEF,4.5,0,0,0,0,0,0,0,0,0,0,359,3370,BOD (A)
E. Konsa,DEF,4.5,8,0,4,0,0,6,1,0,0,90,23436,10523,LIL (H)
E. N'Dicka,DEF,4.5,0,0,0,0,0,0,0,0,0,0,231,860,FEN (A)
E. Piták,DEF,4.5,0,0,0,0,0,0,0,0,0,0,19,74,LEN (H)
Eduardo Quaresma,DEF,4.5,4,0,0,0,0,6,0,0,0,84,266,1763,LEN (A)
Eric García,DEF,4.5,0,0,1,0,0,0,0,0,0,0,5007,15862,GAL (A)
F. Bjørkan,DEF,4.5,0,0,1,0,0,0,0,0,0,0,832,2602,BAY (A)
F. Mendy,DEF,4.5,0,0,0,0,0,0,0,0,0,0,71,1156,ROM (A)
F. Sjøvold,DEF,4.5,0,0,1,0,0,0,0,0,0,0,2796,3432,BAY (A)
Filipe Relvas,DEF,4.5,8,0,0,0,0,8,1,0,0,90,1072,530,SHK (A)
Fran García,DEF,4.5,1,0,1,0,0,0,0,0,0,9,1474,2921,POR (H)
G. Bello,DEF,4.5,3,0,0,0,0,4,0,0,0,90,236,709,LIV (H)
G. Leoni,DEF,4.5,0,0,0,0,0,0,0,0,0,0,46,1076,LASK (A)
G. Mancini,DEF,4.5,0,0,0,0,0,0,0,0,0,0,611,1024,FEN (A)
G. Read,DEF,4.5,1,0,0,0,0,5,0,0,0,90,206,1798,COM (H)
G. Stensness,DEF,4.5,2,0,0,0,0,5,0,0,0,90,54,110,BAY (H)
G. Vagiannidis,DEF,4.5,2,0,0,0,0,1,0,0,0,84,149,1311,LEN (A)
Gonçalo Inácio,DEF,4.5,1,0,4,0,0,5,0,0,0,90,12576,11211,LEN (A)
H. Bellerín,DEF,4.5,2,0,0,0,0,4,0,0,0,90,991,1472,POR (H)
H. Falchener,DEF,4.5,1,0,0,0,0,2,0,0,0,28,72,156,BAY (H)
H. Haugen,DEF,4.5,1,0,0,0,0,0,0,0,0,7,12,90,BAY (H)
H. Heggheim,DEF,4.5,3,0,0,0,0,6,0,0,0,84,98,162,BAY (H)
H. Moukoudi,DEF,4.5,8,0,0,0,0,6,1,0,0,90,976,452,SHK (A)
I. Ganiou,DEF,4.5,0,0,0,0,0,0,0,0,0,0,649,1951,SLA (A)
I. Jakobs,DEF,4.5,1,0,1,0,0,8,0,0,1,90,681,3280,BAR (H)
I. Maatsen,DEF,4.5,1,0,1,0,0,3,0,0,1,90,5538,3765,FEN (H)
I. Ogbu,DEF,4.5,0,0,0,0,0,0,0,0,0,0,102,980,LEN (H)
J. Bednarek,DEF,4.5,0,0,0,0,0,0,0,0,0,0,509,3051,BET (A)
J. Chabot,DEF,4.5,5,0,0,0,0,9,0,0,0,90,994,848,SBR (A)
J. Chavez,DEF,4.5,0,0,0,0,0,0,0,0,0,0,142,1539,SLA (A)
J. Foyth,DEF,4.5,0,0,0,0,0,0,0,0,0,0,92,1460,NAP (H)
J. Gradit,DEF,4.5,0,0,0,0,0,0,0,0,0,0,49,1452,SLA (A)
J. Ilk,DEF,4.5,0,0,0,0,0,0,0,0,0,0,10,99,LIV (H)
J. Kiwior,DEF,4.5,3,0,1,0,0,6,0,0,0,90,1719,3255,BET (A)
J. Ordoñez,DEF,4.5,0,0,0,0,0,0,0,0,0,0,484,3856,INT (A)
J. Seys,DEF,4.5,1,0,1,0,0,2,0,0,0,90,2341,3949,INT (A)
J. St. Juste,DEF,4.5,1,0,0,0,0,5,0,0,0,90,140,1672,COM (H)
J. Stanišić,DEF,4.5,0,0,2,0,0,0,0,0,0,0,4753,6791,BOD (H)
Junior Firpo,DEF,4.5,2,0,0,0,0,5,0,0,0,81,87,869,POR (H)
K. Bajrić,DEF,4.5,1,0,0,0,0,2,0,0,0,22,45,196,STU (H)
K. Jørgensen,DEF,4.5,3,0,0,0,0,3,0,0,0,65,206,203,LIV (H)
K. Koulierakis,DEF,4.5,0,0,0,0,0,0,0,0,0,0,50,113,FEN (A)
K. Sildillia,DEF,4.5,0,0,0,0,0,0,0,0,0,0,73,1506,SHK (H)
L. Balerdi,DEF,4.5,0,0,0,0,0,0,0,0,0,0,188,916,FEN (A)
L. Costa,DEF,4.5,0,0,0,0,0,0,0,0,0,0,64,345,NAP (H)
L. Digne,DEF,4.5,1,0,0,0,0,1,0,0,0,26,640,2600,MCI (A)
L. Geertruida,DEF,4.5,0,0,0,0,0,0,0,0,0,0,736,1648,SHK (H)
L. Hernández,DEF,4.5,1,0,1,0,0,1,0,0,0,26,637,3152,MCI (A)
L. Marianucci,DEF,4.5,0,0,0,0,0,0,0,0,0,0,113,1600,VIL (A)
L. Mercan,DEF,4.5,0,0,0,0,0,0,0,0,0,0,16,158,ROM (H)
L. Rota,DEF,4.5,9,0,0,0,0,9,1,0,0,90,1477,612,SHK (A)
L. Shaw,DEF,4.5,0,0,3,0,0,0,0,0,0,0,12625,8330,SAB (H)
L. Spinazzola,DEF,4.5,0,0,0,0,0,0,0,0,0,0,418,3186,VIL (A)
L. Srdanovic,DEF,4.5,0,0,0,0,0,0,0,0,0,0,80,1563,ARS (A)
Lisandro Martínez,DEF,4.5,0,0,2,0,0,0,0,0,0,0,7326,5437,SAB (H)
M. Bartra,DEF,4.5,18,0,0,2,0,6,0,0,0,90,670,1590,POR (H)
M. Cash,DEF,4.5,0,0,2,0,0,0,0,0,0,0,7024,8512,FEN (H)
M. Dams,DEF,4.5,0,0,0,0,0,0,0,0,0,0,33,122,INT (A)
M. De Ligt,DEF,4.5,0,0,0,0,0,0,0,0,0,0,325,2180,SAB (H)
M. Hermoso,DEF,4.5,0,0,0,0,0,0,0,0,0,0,1174,1229,FEN (A)
M. Lewis-Skelly,DEF,4.5,0,0,5,0,0,0,0,0,0,0,17380,15629,LIL (H)
M. Matviyenko,DEF,4.5,0,0,0,0,0,0,0,0,0,0,106,617,PSV (A)
M. Mittelstädt,DEF,4.5,4,0,5,0,0,7,0,0,0,86,29900,7304,SBR (A)
M. Ruggeri,DEF,4.5,0,0,1,0,0,0,0,0,0,0,4714,8125,FEN (H)
M. Udol,DEF,4.5,0,0,0,0,0,0,0,0,0,0,346,1779,SLA (A)
Minjae Kim,DEF,4.5,0,0,1,0,0,0,0,0,0,0,2613,4579,BOD (H)
N. Mazraoui,DEF,4.5,0,0,1,0,0,0,0,0,0,0,1281,2815,SAB (H)
N. Ngoy,DEF,4.5,2,0,0,0,0,3,0,0,0,90,537,1824,ARS (A)
O. Diomande,DEF,4.5,0,0,0,0,0,0,0,0,0,0,12,195,LEN (A)
P. Hincapié,DEF,4.5,8,0,3,0,0,8,1,0,0,90,8612,10193,LIL (H)
P. Navarro,DEF,4.5,2,0,0,0,0,6,0,0,1,83,80,721,NAP (H)
Pau Torres,DEF,4.5,8,0,1,0,2,5,0,0,0,90,2250,2649,FEN (H)
R. Aguilar,DEF,4.5,0,0,0,0,0,0,0,0,0,0,349,1823,SLA (A)
R. Bensebaini,DEF,4.5,0,0,1,0,0,0,0,0,0,0,2924,10430,BOD (A)
R. Calafiori,DEF,4.5,0,0,31,0,0,0,0,0,0,0,82082,30177,LIL (H)
R. Dashdamirov,DEF,4.5,0,0,0,0,0,0,0,0,0,0,21,109,MUN (A)
R. Flamingo,DEF,4.5,0,0,0,0,0,0,0,0,0,0,612,3150,SHK (H)
R. Le Normand,DEF,4.5,1,0,2,0,0,2,0,0,0,13,3302,6336,MUN (H)
R. Perraud,DEF,4.5,1,0,0,0,0,1,0,0,0,88,210,1734,ARS (A)
Rafa Marín,DEF,4.5,2,0,0,0,0,2,0,0,0,90,139,2737,VIL (A)
Raúl Asencio,DEF,4.5,0,0,0,0,0,0,0,0,0,0,118,1370,ROM (A)
Renato Veiga,DEF,4.5,-1,0,1,0,0,2,0,0,0,90,828,2671,NAP (H)
Ricardo Mangas,DEF,4.5,0,0,0,0,0,0,0,0,0,0,4,268,LEN (A)
Ronald Araújo,DEF,4.5,5,0,3,0,1,2,0,0,0,90,6032,6747,LASK (A)
S. Baidoo,DEF,4.5,0,0,0,0,0,0,0,0,0,0,61,1176,SLA (A)
S. Coulibaly,DEF,4.5,0,0,0,0,0,0,0,0,0,0,43,132,INT (A)
S. Marković,DEF,4.5,-1,0,0,0,0,1,0,0,0,90,32,178,STU (H)
S. Pilios,DEF,4.5,7,0,0,0,0,5,1,0,0,90,1086,447,SHK (A)
S. Solvet,DEF,4.5,0,0,0,0,0,0,0,0,0,0,61,138,MUN (A)
Sandro Cruz,DEF,4.5,1,0,0,0,0,6,0,0,0,90,30,190,STU (H)
Souza,DEF,4.5,0,0,0,0,0,0,0,0,0,0,41,145,BET (A)
T. Holeš,DEF,4.5,0,0,0,0,0,0,0,0,0,0,75,1334,LEN (H)
T. Mings,DEF,4.5,0,0,0,0,0,0,0,0,0,0,608,2242,FEN (H)
T. Puchacz,DEF,4.5,0,0,0,0,0,0,0,0,0,0,392,336,MUN (A)
T. Watanabe,DEF,4.5,1,0,0,0,0,4,0,0,0,90,142,1611,COM (H)
V. Bondar,DEF,4.5,0,0,0,0,0,0,0,0,0,0,98,599,PSV (A)
V. Lindelöf,DEF,4.5,2,0,1,0,0,4,0,0,0,90,2269,2630,FEN (H)
V. Nielsen,DEF,4.5,0,0,0,0,0,0,0,0,0,0,157,1706,BAY (A)
W. Anton,DEF,4.5,3,0,1,0,0,9,0,0,1,90,7582,5905,BOD (A)
W. Orbán,DEF,4.5,0,0,0,0,0,0,0,0,0,0,285,1527,COM (A)
Wesley França,DEF,4.5,0,0,1,0,0,0,0,0,0,0,1712,1690,FEN (A)
Xavi Espart,DEF,4.5,0,0,3,0,0,0,0,0,0,0,17365,4578,GAL (A)
Y. Bisseck,DEF,4.5,1,0,1,0,0,3,0,0,1,90,2848,5298,BRU (H)
Y. Spalt,DEF,4.5,0,0,0,0,0,0,0,0,0,0,55,265,SBR (A)
Z. Debast,DEF,4.5,1,0,0,0,0,0,0,0,0,6,517,2128,LEN (A)
Çağlar Söyüncü,DEF,4.5,0,0,0,0,0,0,0,0,0,0,69,257,ROM (H)
Éder Militão,DEF,4.5,0,0,0,0,0,0,0,0,0,0,230,1849,ROM (A)
A. Al-Dakhil,DEF,4,1,0,0,0,0,1,0,0,0,4,50,78,SBR (A)
A. Buongiorno,DEF,4,0,0,1,0,0,0,0,0,0,0,1335,2286,VIL (A)
A. Bærtelsen,DEF,4,0,0,0,0,0,0,0,0,0,0,56,156,BAY (H)
A. Cuenca,DEF,4,0,0,0,0,0,0,0,0,0,0,238,996,RBL (H)
A. Dossena,DEF,4,0,0,0,0,0,0,0,0,0,0,72,52,RBL (H)
A. Freeman,DEF,4,1,0,0,0,0,3,0,0,0,45,249,317,NAP (H)
A. Garcia,DEF,4,0,0,0,0,0,0,0,0,0,0,169,100,INT (A)
A. Ghram,DEF,4,0,0,0,0,0,0,0,0,0,0,80,77,PSV (A)
A. Goffi,DEF,4,0,0,0,0,0,0,0,0,0,0,30,26,ARS (A)
A. Groiß,DEF,4,0,0,0,0,0,0,0,0,0,0,295,319,SBR (A)
A. Heaven,DEF,4,0,0,0,0,0,0,0,0,0,0,573,567,SAB (H)
A. Ibrahim,DEF,4,0,0,0,0,0,0,0,0,0,0,88,89,LIV (H)
A. Kabar,DEF,4,0,0,0,0,0,0,0,0,0,0,8,44,BOD (A)
A. McCarthy,DEF,4,0,0,0,0,0,0,0,0,0,0,151,126,MUN (A)
A. Midzic,DEF,4,0,0,0,0,0,0,0,0,0,0,71,54,LIV (H)
A. N'Guessan,DEF,4,0,0,0,0,0,0,0,0,0,0,38,70,LEN (H)
A. Nagalo,DEF,4,0,0,0,0,0,0,0,0,0,0,461,453,SHK (H)
A. Obispo,DEF,4,0,0,1,0,0,0,0,0,0,0,5340,3916,SHK (H)
A. Valle,DEF,4,0,0,1,0,0,0,0,0,0,0,4992,2058,RBL (H)
Arnau Solà,DEF,4,0,0,0,0,0,0,0,0,0,0,28,36,MUN (H)
B. Henrichs,DEF,4,0,0,0,0,0,0,0,0,0,0,343,259,COM (A)
B. Meijer,DEF,4,0,0,0,0,0,0,0,0,0,0,14,188,INT (A)
B. Nieuwkoop,DEF,4,0,0,0,0,0,0,0,0,0,0,20,76,COM (H)
B. Plantinga,DEF,4,0,0,0,0,0,0,0,0,0,0,18,29,COM (H)
C. Favasuli,DEF,4,1,0,0,0,0,0,0,0,0,33,64,60,VIL (A)
C. Kebe,DEF,4,0,0,0,0,0,0,0,0,0,0,37,44,LIV (H)
C. Lykogiannis,DEF,4,0,0,0,0,0,0,0,0,0,0,138,113,SHK (A)
C. Romero,DEF,4,0,0,0,0,0,0,0,0,0,0,347,425,NAP (H)
C. Verdonk,DEF,4,0,0,0,0,0,0,0,0,0,0,410,387,ARS (A)
Carlos Augusto,DEF,4,8,0,1,1,0,3,0,0,0,83,4327,4286,BRU (H)
Cihan Akgün,DEF,4,0,0,0,0,0,0,0,0,0,0,39,36,BAR (H)
D. Arroyo,DEF,4,0,0,0,0,0,0,0,0,0,0,20,76,PSV (A)
D. Boly,DEF,4,0,0,0,0,0,0,0,0,0,0,65,54,MCI (A)
D. Elfadli,DEF,4,0,0,0,0,0,0,0,0,0,0,50,47,LIV (H)
D. Ghilardi,DEF,4,0,0,0,0,0,0,0,0,0,0,106,110,FEN (A)
D. Hashioka,DEF,4,0,0,0,0,0,0,0,0,0,0,42,244,LEN (H)
D. Javorček,DEF,4,0,0,0,0,0,0,0,0,0,0,13,78,LEN (H)
D. Jurásek,DEF,4,0,0,0,0,0,0,0,0,0,0,77,83,LEN (H)
D. Nothnagel,DEF,4,0,0,0,0,0,0,0,0,0,0,94,163,SBR (A)
D. Rensch,DEF,4,0,0,0,0,0,0,0,0,0,0,75,111,FEN (A)
D. Slory,DEF,4,0,0,0,0,0,0,0,0,0,0,20,22,COM (H)
D. Zagadou,DEF,4,0,0,0,0,0,0,0,0,0,0,83,126,SBR (A)
Dani Martinez,DEF,4,0,0,0,0,0,0,0,0,0,0,158,83,MUN (H)
E. Bassey,DEF,4,0,0,0,0,0,0,0,0,0,0,76,54,BAY (H)
E. Bitshiabu,DEF,4,0,0,0,0,0,0,0,0,0,0,449,383,BAR (H)
E. Goldaniga,DEF,4,0,0,0,0,0,0,0,0,0,0,173,241,RBL (H)
E. Lulli,DEF,4,0,0,0,0,0,0,0,0,0,0,175,91,FEN (A)
Eren Elmalı,DEF,4,1,0,0,0,0,3,0,0,1,90,378,1424,BAR (H)
Erivaldo Almeida,DEF,4,0,0,0,0,0,0,0,0,0,0,50,65,MUN (A)
F. Kostić,DEF,4,0,0,2,0,0,0,0,0,0,0,6839,3374,SHK (H)
F. Mane,DEF,4,0,0,0,0,0,0,0,0,0,0,316,1214,BOD (A)
F. Merién,DEF,4,0,0,0,0,0,0,0,0,0,0,283,319,SHK (H)
Francisco Moura,DEF,4,1,0,0,0,0,1,0,0,0,17,577,500,BET (A)
G. Gocholeishvili,DEF,4,0,0,0,0,0,0,0,0,0,0,12,72,PSV (A)
G. Smal,DEF,4,0,0,0,0,0,0,0,0,0,0,31,128,COM (H)
Gerard Martín,DEF,4,0,0,9,0,0,0,0,0,0,0,44557,22282,GAL (A)
H. Agboluaje,DEF,4,0,0,0,0,0,0,0,0,0,0,49,42,COM (H)
H. Aleesami,DEF,4,0,0,0,0,0,0,0,0,0,0,144,862,BAY (A)
H. Fort,DEF,4,0,0,0,0,0,0,0,0,0,0,248,747,GAL (A)
H. Ito,DEF,4,0,0,0,0,0,0,0,0,0,0,582,1501,BOD (H)
H. Siquet,DEF,4,2,0,0,0,0,3,0,0,0,45,249,1379,INT (A)
Han-beom Lee,DEF,4,3,0,0,0,0,7,0,0,0,90,648,283,INT (A)
I. Azarov,DEF,4,0,0,0,0,0,0,0,0,0,0,76,98,PSV (A)
I. Ba,DEF,4,0,0,0,0,0,0,0,0,0,0,101,203,LEN (A)
I. Cossier,DEF,4,0,0,0,0,0,0,0,0,0,0,44,40,ARS (A)
I. Fresneda,DEF,4,1,0,5,0,0,1,0,0,0,6,20937,13378,LEN (A)
I. Mabaya,DEF,4,0,0,0,0,0,0,0,0,0,0,22,23,LASK (A)
I. Määttä,DEF,4,0,0,0,0,0,0,0,0,0,0,222,894,BAY (A)
I. Smolčić,DEF,4,0,0,0,0,0,0,0,0,0,0,521,408,RBL (H)
I. Van Der Brempt,DEF,4,0,0,0,0,0,0,0,0,0,0,37,131,RBL (H)
I. Zabarnyi,DEF,4,3,0,1,0,0,3,0,0,0,90,2039,2374,MCI (A)
J. Daland,DEF,4,2,0,0,0,0,4,0,0,0,62,103,98,BAY (H)
J. Fortea,DEF,4,0,0,0,0,0,0,0,0,0,0,34,32,ROM (A)
J. Gadou,DEF,4,2,0,0,0,0,5,0,0,0,90,3809,1934,BOD (A)
J. Gomez,DEF,4,0,0,0,0,0,0,0,0,0,0,851,3334,LASK (A)
J. Gundersen,DEF,4,0,0,0,0,0,0,0,0,0,0,1053,2451,BAY (A)
J. Lopez,DEF,4,0,0,0,0,0,1,0,0,0,45,30,34,COM (H)
J. Lotomba,DEF,4,0,0,0,0,0,0,0,0,0,0,59,81,COM (H)
J. Oosterwolde,DEF,4,0,0,0,0,0,0,0,0,0,0,958,599,ROM (H)
J. Ramón,DEF,4,0,0,1,0,0,0,0,0,0,0,4494,2177,RBL (H)
J. Riedl,DEF,4,0,0,0,0,0,0,0,0,0,0,17,29,BOD (A)
J. Spileers,DEF,4,0,0,0,0,0,0,0,0,0,0,166,935,INT (A)
J. Todibo,DEF,4,0,0,1,0,0,0,0,0,0,0,723,1637,SLA (A)
J. Tornich,DEF,4,6,0,0,0,0,12,0,0,0,90,306,101,LIV (H)
J. Vagnoman,DEF,4,2,0,4,0,0,3,0,0,0,28,26222,4678,SBR (A)
J. Wansch,DEF,4,0,0,0,0,0,0,0,0,0,0,76,63,LIV (H)
J. Ziółkowski,DEF,4,0,0,0,0,0,0,0,0,0,0,36,158,FEN (A)
J. van den Berg,DEF,4,0,0,1,0,0,0,0,0,0,0,1700,1391,SHK (H)
Joan Martínez,DEF,4,0,0,0,0,0,0,0,0,0,0,83,62,ROM (A)
K. Antonio,DEF,4,0,0,0,0,0,0,0,0,0,0,214,171,SLA (A)
K. Haugen,DEF,4,2,0,0,0,0,4,0,0,0,71,57,94,BAY (H)
K. Nedeljković,DEF,4,0,0,0,0,0,0,0,0,0,0,1,19,FEN (H)
K. Oppong,DEF,4,0,0,0,0,0,0,0,0,0,0,230,164,ROM (H)
K. Sabbe,DEF,4,0,0,1,0,0,1,0,0,0,45,3781,2600,INT (A)
K. Tsimikas,DEF,4,1,0,0,0,0,2,0,0,0,2,605,713,LASK (A)
K. Wimmer,DEF,4,0,0,0,0,0,0,0,0,0,0,63,58,STU (H)
Kaan Ayhan,DEF,4,0,0,0,0,0,0,0,0,0,0,154,844,BAR (H)
Kaiki Bruno,DEF,4,0,0,0,0,0,0,0,0,0,0,198,217,RBL (H)
Kauã Prates,DEF,4,1,0,0,0,0,1,0,0,0,8,357,241,BOD (A)
L. Assignon,DEF,4,0,0,0,0,0,0,0,0,0,0,37,108,SBR (A)
L. Bogarde,DEF,4,1,0,0,0,0,2,0,0,0,22,167,198,FEN (H)
L. Chambers,DEF,4,0,0,0,0,0,0,0,0,0,0,49,47,LASK (A)
L. Jaquez,DEF,4,0,0,0,0,0,0,0,0,0,0,65,141,SBR (A)
L. Klostermann,DEF,4,0,0,0,0,0,0,0,0,0,0,546,356,COM (A)
